Question	Answer
what colour is dermatofibroma?	Color may be pink, red, gray, light brown or purple
what are the remedies for dermatofibroma?	localized corticosteroid injection.shaving the top to flatten the growth.freezing (with liquid nitrogen),laser therapy.
what are the preventive measures of dermatofibroma?	localized corticosteroid injection.shaving the top to flatten the growth.freezing (with liquid nitrogen),laser therapy.
when to consult a doctor in case of dermatofibroma?	if it is changing size, shape, or color and follows an irregular pattern. Any growth that bleeds, becomes painful, itches or grows rapidly should also be reported, as soon as possible.
Does itching happens in dermatofibroma?	May be itchy
What is melanoma?	Melanoma, the most serious type of skin cancer, develops in the cells (?melanocytes) that produce melanin — the pigment that gives your skin its color.
what are the symptoms of melanoma?	Spread of pigment from the border of a spot into surrounding skin,itchiness, tenderness, or pain,oozing, bleeding,hard or lumpy	moles with two very different-looking halves	more than 50 ordinary moles on your body
which areas does melanoma appear?	Melanomas can develop anywhere on your body. They most often develop in areas that have had exposure to the sun, such as your back, legs, arms and face
what colour is melanoma?	different shades of brown, tan or black
what are the remedies for melanoma?	Avoid the sun during the middle of the day, Avoid tanning lamps and beds, Become familiar with your skin so that you'll notice changes
what are the preventive measures of melanoma?	Avoid the sun during the middle of the day, Avoid tanning lamps and beds, Become familiar with your skin so that you'll notice changes
when to consult a doctor in case of melanoma?	Make an appointment with your doctor if you notice any unusual skin changes
Does itching happens in melanoma?	Yes
What is melanocytic nevi?	A usually non-cancerous disorder of pigment-producing skin cells commonly called birth marks or moles.
what are the symptoms of melanocytic nevi?	brown, tan, pink or black spots on the skin,bumpy texture,3 mm circular,dark, coarse hair,Itchy,size increased with age,larger than a pencil eraser,30 and 40 moles,bleeding
which areas does melanocytic nevi appear?	scalp, neck, upper arms and legs, and neck	
What is the texture of melanocytic nevi?	bumpy texture,3 mm circular,dark
what colour is melanocytic nevi?	brown, tan, pink or black spots on the skin
what are the remedies for melanocytic nevi?	Wear a hat, long sleeves and a long skirt or trousers,Apply sunscreen to areas you can't cover when outdoors,shave/excision biopsy or cryosurgery,Laser surgery
what are the preventive measures of melanocytic nevi?	Wear a hat, long sleeves and a long skirt or trousers,Apply sunscreen to areas you can't cover when outdoors,shave/excision biopsy or cryosurgery,Laser surgery
when to consult a doctor in case of melanocytic nevi?	Make an appointment with your doctor if you notice any unusual skin changes
Does itching happens in melanocytic nevi?	Itchy
What is vascular lesions?	Vascular lesions are relatively common abnormalities of the skin and underlying tissues, more commonly known as birthmarks
what are the symptoms of vascular lesions?	appear as groups of small clear vesicles (blister like clusters),When found at the skin or mucosal level (often in the mouth) they can cause problems with weeping and pain,appear as deeper-seated, softer compressible masses often in the neck or axilla with overlying bluish skin discoloration,lesions can also infiltrate the deeper soft tissues causing firm masses	conditions of the skin characterized by overgrowth or enlargement of blood vessels	
What is the texture of vascular lesions?	appear as groups of small clear vesicles (blister like clusters)
what colour is vascular lesions?	 lesions appear at birth as flat pink areas of skin discoloration and usually darken over time to become a deep purple color
what are the remedies for vascular lesions?	Laser treatment is usually the best option for vascular lesions of the face.Cold compresses can help with redness and swelling,On the legs, injection of a medication to destroy the blood vessel (sclerotherapy) can be a better option for spider veins,Avoid having tanned skin â€“ Avoid sun in the middle of the day, use sunscreen with a high SPF, and wear sun-protective clothing (eg, a hat and tightly woven clothing).Avoid medications and supplements that make bruising more likely (only if stopping any of the below medications has been discussed with your doctor)
what are the preventive measures of vascular lesions?	Laser treatment is usually the best option for vascular lesions of the face.Cold compresses can help with redness and swelling,On the legs, injection of a medication to destroy the blood vessel (sclerotherapy) can be a better option for spider veins,Avoid having tanned skin â€“ Avoid sun in the middle of the day, use sunscreen with a high SPF, and wear sun-protective clothing (eg, a hat and tightly woven clothing).Avoid medications and supplements that make bruising more likely (only if stopping any of the below medications has been discussed with your doctor)
when to consult a doctor in case of vascular lesions?	When used by well-trained laser surgeons, unanticipated risks such as blistering, discoloration, or scarring are very low. Expected side effects include redness and sometimes bruising lasting for a few days. Avoiding blood-thinning agents, such as those listed above, can reduce the risk of bruising
Does itching happens in vascular lesions?	No
